恐: 戦々[恐]々
祖: 先[祖]代々
聞: 前代未[聞]
潜: [潜]在能力
夫: 創意工[夫]
粗: [粗]製濫造
製: 粗[製]濫造
造: 粗製濫[造]
吉: 大安[吉]日
晩: 大器[晩]成
成: 大器晩[成]
壮: 大言[壮]語
願: 他力本[願]
魑: [魑]魅魍魎
魅: 魑[魅]魍魎
魍: 魑魅[魍]魎
魎: 魑魅魍[魎]
暮: 朝令[暮]改
跳: [跳]梁跋扈
梁: 跳[梁]跋扈
跋: 跳梁[跋]扈
扈: 跳梁跋[扈]
猪: [猪]突猛進
浦: 津々[浦]々
材: 適[材]適所
逃: 敵前[逃]亡
噌: 手前味[噌]
管: 手練手[管]
泰: 天下[泰]平
電: [電]光石火
漫: 天真爛[漫]
随: 当代[随]一
走: 東奔西[走]
専: 独断[専]行
内: [内]憂外患
患: 内憂外[患]
攻: 難[攻]不落
落: 難攻不[落]
働: 肉体労[働]
脚: 二人三[脚]
制: 女人禁[制]
律: 二[律]背反
功: 年[功]序列
序: 年功[序]列
野: [野]良仕事
仕: 野良[仕]事
馬: [馬]耳東風
耳: 馬[耳]東風
波: [波]乱万丈
丈: 波乱万[丈]
罵: [罵]詈雑言
詈: 罵[詈]雑言
師: 反面教[師]
句: 美辞麗[句]
眉: [眉]目秀麗
秀: 眉目[秀]麗
錬: 百戦[錬]磨
繚: 百花[繚]乱
裏: 表[裏]一体
疲: [疲]労困憊
困: 疲労[困]憊
憊: 疲労困[憊]
媚: 風光明[媚]
抗: 不可[抗]力
議: 不可思[議]
複: [複]雑怪奇
換: 物々交[換]
眠: 不[眠]不休
付: [付]和雷同
雷: 付和[雷]同
粉: [粉]骨砕身
骨: 粉[骨]砕身
砕: 粉骨[砕]身
武: 文[武]両道
低: 平身[低]頭
幻: 変[幻]自在
傍: [傍]若無人
茫: [茫]然自失
抱: [抱]腹絶倒
腹: 抱[腹]絶倒
豊: [豊]年満作
飽: [飽]和状態
元: 本家本[元]
末: 本[末]転倒
場: 満[場]一致
致: 満場一[致]
痍: 満身創[痍]
坊: 三日[坊]主
永: 未来[永]劫
劫: 未来永[劫]
為: 無[為]無策
策: 無為無[策]
夢: 無我[夢]中
芸: 無[芸]大食
茶: 無[茶]苦[茶]
病: 無[病]息災
災: 無病息[災]
乾: 無味[乾]燥
燥: 無味乾[燥]
毀: 名誉[毀]損
損: 名誉毀[損]
挽: 名誉[挽]回
迷: [迷]惑千万
惑: 迷[惑]千万
奉: 滅私[奉]公
許: 免[許]皆伝
皆: 免許[皆]伝
躍: 面目[躍]如
如: 面目躍[如]
見: 物[見]遊山
遊: 物見[遊]山
戸: 門[戸]開放
尊: 唯我独[尊]
劣: 優勝[劣]敗
敗: 優勝劣[敗]
勇: [勇]猛果敢
敢: 勇猛果[敢]
悠: [悠]々自適
油: [油]断大敵
周: 用意[周]到
到: 用意周[到]
妖: [妖]怪変化
容: [容]姿端麗
姿: 容[姿]端麗
求: 欲[求]不満
蛇: 竜頭[蛇]尾
路: 理[路]整然
収: 臨時[収]入
男: 老若[男]女
藹: 和気[藹]々
洋: 和[洋]折衷
衷: 和洋折[衷]
焼: [焼]肉定食
引: 万有[引]力
債: 不良[債]権
解: 空中分[解]
鎖: 連[鎖]反応
約: [約]束手形
形: 約束手[形]
軟: 柔[軟]体操
操: 柔軟体[操]
記: 三面[記]事
角: 三[角]関係
関: 三角[関]係
係: 三角関[係]
避: [避]難訓練
訓: 避難[訓]練
愛: [愛]情表現 相思相[愛] ;; 1001
表: 愛情[表]現 [表]裏一体 ;; 1010
現: 愛情表[現] [現]状維持 ;; 1001
息: 青[息]吐[息] 無病[息]災 ;; 0111
闘: 悪戦苦[闘] 孤軍奮[闘] ;; 0002
