大統領	4.75% ; jukugo189
講演会	4.75% ; jukugo190
画期的	4.74% ; jukugo191
滑走路	4.74% ; jukugo192
活断層	4.74% ; jukugo193
勝手口	4.73% ; jukugo194
可能性	4.73% ; jukugo195
過半数	4.73% ; jukugo196
下半身	4.73% ; jukugo197
歌舞伎	4.72% ; jukugo198
下腹部	4.72% ; jukugo199
花粉症	4.72% ; jukugo200
果報者	4.71% ; jukugo201
過保護	4.71% ; jukugo202
紙芝居	4.71% ; jukugo203
結婚式	4.71% ; jukugo204
紙一重	4.70% ; jukugo205
紙吹雪	4.70% ; jukugo206
歌謡曲	4.69% ; jukugo207
画用紙	4.69% ; jukugo208
空手形	4.69% ; jukugo209
皮算用	4.69% ; jukugo210
月桂冠	4.69% ; jukugo211
間一髪	4.69% ; jukugo212
換気扇	4.68% ; jukugo213
寄生虫	4.68% ; jukugo214
関係者	4.67% ; jukugo215
部外者	4.67% ; jukugo216
看護士	4.67% ; jukugo217
観光客	4.67% ; jukugo218
閑古鳥	4.67% ; jukugo219
幹事長	4.66% ; jukugo220
感傷的	4.66% ; jukugo221
感情的	4.65% ; jukugo222
住宅街	4.65% ; jukugo223
間接的	4.65% ; jukugo224
乾電池	4.65% ; jukugo225
堪忍袋	4.65% ; jukugo226
看板娘	4.65% ; jukugo227
漢方薬	4.64% ; jukugo228
刑務所	4.64% ; jukugo229
甘味料	4.64% ; jukugo230
慣用句	4.63% ; jukugo231
歓楽街	4.63% ; jukugo232
管理人	4.63% ; jukugo233
好敵手	4.63% ; jukugo234
断末魔	4.62% ; jukugo235
一番星	4.62% ; jukugo236
三角形	4.62% ; jukugo237
四角形	4.62% ; jukugo238
神無月	4.61% ; jukugo239
五月雨	4.61% ; jukugo240
吸血鬼	4.61% ; jukugo241
洗面器	4.60% ; jukugo242
歳時記	4.60% ; jukugo243
記憶力	4.60% ; jukugo244
幾何学	4.60% ; jukugo245
規格外	4.59% ; jukugo246
気管支	4.59% ; jukugo247
機関車	4.59% ; jukugo248
機関銃	4.59% ; jukugo249
予想外	4.58% ; jukugo250
飛行船	4.58% ; jukugo251
貴金属	4.58% ; jukugo252
気苦労	4.58% ; jukugo253
紀元前	4.57% ; jukugo254
上機嫌	4.57% ; jukugo255
貴公子	4.57% ; jukugo256
騎士道	4.57% ; jukugo257
技術者	4.56% ; jukugo258
犠牲者	4.56% ; jukugo259
奇跡的	4.56% ; jukugo260
季節感	4.55% ; jukugo261
偽善者	4.55% ; jukugo262
規則的	4.55% ; jukugo263
北半球	4.55% ; jukugo264
南半球	4.54% ; jukugo265
几帳面	4.54% ; jukugo266
喫茶店	4.54% ; jukugo267
啄木鳥	4.53% ; jukugo268
機内食	4.53% ; jukugo269
起爆剤	4.53% ; jukugo270
揮発油	4.53% ; jukugo271
貴婦人	4.52% ; jukugo272
基本的	4.53% ; jukugo273
疑問符	4.52% ; jukugo274
疑問点	4.52% ; jukugo275
売春婦	4.51% ; jukugo276
逆効果	4.52% ; jukugo277
客商売	4.51% ; jukugo278
脚本家	4.50% ; jukugo279
脚線美	4.51% ; jukugo280
逆探知	4.50% ; jukugo281
逆輸入	4.50% ; jukugo282
客観的	4.50% ; jukugo283
義勇軍	4.49% ; jukugo284
九官鳥	4.49% ; jukugo285
急降下	4.49% ; jukugo286
急斜面	4.49% ; jukugo287
救急車	4.48% ; jukugo288
求心力	4.48% ; jukugo289
急進的	4.48% ; jukugo290
新人類	4.47% ; jukugo291
救世主	4.47% ; jukugo292
急先鋒	4.47% ; jukugo293
及第点	4.47% ; jukugo294
求道者	4.47% ; jukugo295
給料日	4.46% ; jukugo296
理想郷	4.46% ; jukugo297
凶悪犯	4.46% ; jukugo298
共益費	4.46% ; jukugo299
教科書	4.46% ; jukugo300
境界線	4.45% ; jukugo301
狂犬病	4.45% ; jukugo302
強行軍	4.45% ; jukugo303
恐妻家	4.45% ; jukugo304
家庭科	4.44% ; jukugo305
教職員	4.44% ; jukugo306
協奏曲	4.44% ; jukugo307
徒競走	4.43% ; jukugo308
協調性	4.43% ; jukugo309
恐怖症	4.43% ; jukugo310
協力的	4.43% ; jukugo311
共和国	4.43% ; jukugo312
虚栄心	4.42% ; jukugo313
魚介類	4.42% ; jukugo314
曲線美	4.41% ; jukugo315
芸術家	4.41% ; jukugo316
新記録	4.42% ; jukugo317
金一封	4.41% ; jukugo318
禁煙席	4.41% ; jukugo319
銀河系	4.40% ; jukugo320
近似値	4.40% ; jukugo321
金字塔	4.40% ; jukugo322
近代的	4.40% ; jukugo323
緊張感	4.39% ; jukugo324
緊迫感	4.39% ; jukugo325
近未来	4.39% ; jukugo326
飛行場	4.39% ; jukugo327
草野球	4.39% ; jukugo328
具体的	4.38% ; jukugo329
尊敬語	4.38% ; jukugo330
影響力	4.38% ; jukugo331
口喧嘩	4.37% ; jukugo332
口八丁	4.37% ; jukugo333
口下手	4.37% ; jukugo334
口約束	4.37% ; jukugo335
屈辱的	4.37% ; jukugo336
句読点	4.36% ; jukugo337
首実検	4.36% ; jukugo338
倶楽部	4.36% ; jukugo339
誕生日	4.35% ; jukugo340
七変化	4.35% ; jukugo341
親衛隊	4.35% ; jukugo342
車椅子	4.35% ; jukugo343
苦労人	4.35% ; jukugo344
体温計	4.34% ; jukugo345
軽音楽	4.34% ; jukugo346
警戒心	4.34% ; jukugo347
計画的	4.33% ; jukugo348
経験者	4.33% ; jukugo349
蛍光灯	4.33% ; jukugo350
経済力	4.33% ; jukugo351
警察犬	4.33% ; jukugo352
警視庁	4.32% ; jukugo353
従業員	4.32% ; jukugo354
掲示板	4.32% ; jukugo355
形式的	4.31% ; jukugo356
景勝地	4.31% ; jukugo357
軽犯罪	4.31% ; jukugo358
警備員	4.31% ; jukugo359
迎賓館	4.30% ; jukugo360
契約書	4.31% ; jukugo361
発動機	4.31% ; jukugo362
弁護士	4.30% ; jukugo363
下克上	4.30% ; jukugo364
土下座	4.30% ; jukugo365
下手人	4.29% ; jukugo366
化粧品	4.29% ; jukugo367
下世話	4.29% ; jukugo368
血液型	4.29% ; jukugo369
結果論	4.28% ; jukugo370
類似品	4.28% ; jukugo371
月刊誌	4.27% ; jukugo372
地球儀	4.28% ; jukugo373
月桂樹	4.27% ; jukugo374
悪天候	4.27% ; jukugo375
銀世界	4.27% ; jukugo376
決断力	4.27% ; jukugo377
決定的	4.27% ; jukugo378
決定版	4.26% ; jukugo379
血統書	4.26% ; jukugo380
血糖値	4.26% ; jukugo381
潔癖症	4.26% ; jukugo382
解毒剤	4.25% ; jukugo383
下馬評	4.25% ; jukugo384
研究所	4.25% ; jukugo385
首都圏	4.24% ; jukugo386
太極拳	4.24% ; jukugo387
牽引車	4.24% ; jukugo388
受験生	4.24% ; jukugo389
原材料	4.23% ; jukugo390
原始人	4.23% ; jukugo391
源氏名	4.23% ; jukugo392
現実的	4.23% ; jukugo393
健常者	4.22% ; jukugo394
献身的	4.23% ; jukugo395
三原色	4.23% ; jukugo396
建設的	4.22% ; jukugo397
積乱雲	4.22% ; jukugo398
不健全	4.21% ; jukugo399
幻想曲	4.21% ; jukugo400
丁寧語	4.21% ; jukugo401
倦怠期	4.21% ; jukugo402
原体験	4.20% ; jukugo403
現地妻	4.21% ; jukugo404
原動力	4.20% ; jukugo405
顕微鏡	4.20% ; jukugo406
大文字	4.20% ; jukugo407
色鉛筆	4.19% ; jukugo408
小麦粉	4.19% ; jukugo409
好景気	4.18% ; jukugo410
広範囲	4.19% ; jukugo411
好意的	4.18% ; jukugo412
後遺症	4.18% ; jukugo413
紅一点	4.18% ; jukugo414
後援会	4.18% ; jukugo415
効果的	4.18% ; jukugo416
非公開	4.17% ; jukugo417
好奇心	4.17% ; jukugo418
合議制	4.17% ; jukugo419
高気圧	4.17% ; jukugo420
恒久的	4.16% ; jukugo421
公務員	4.16% ; jukugo422
交響曲	4.16% ; jukugo423
航空機	4.15% ; jukugo424
高血圧	4.15% ; jukugo425
後見人	4.15% ; jukugo426
考古学	4.15% ; jukugo427
光合成	4.15% ; jukugo428
好々爺	4.15% ; jukugo429
小動物	4.14% ; jukugo430
交差点	4.14% ; jukugo431
工作員	4.14% ; jukugo432
高山病	4.14% ; jukugo433
絞首刑	4.14% ; jukugo434
行進曲	4.13% ; jukugo435
保険証	4.13% ; jukugo436
興信所	4.12% ; jukugo437
香辛料	4.13% ; jukugo438
降水量	4.12% ; jukugo439
好事家	4.12% ; jukugo440
好戦的	4.12% ; jukugo441
豪速球	4.12% ; jukugo442
皇太子	4.11% ; jukugo443
交通費	4.11% ; jukugo444
好都合	4.11% ; jukugo445
絶好調	4.11% ; jukugo446
最高潮	4.10% ; jukugo447
後頭部	4.10% ; jukugo448
口内炎	4.10% ; jukugo449
光熱費	4.10% ; jukugo450
更年期	4.10% ; jukugo451
配偶者	4.09% ; jukugo452
公約数	4.09% ; jukugo453
卒業生	4.09% ; jukugo454
広葉樹	4.09% ; jukugo455
合理的	4.09% ; jukugo456
子会社	4.08% ; jukugo457
五月病	4.08% ; jukugo458
互換性	4.08% ; jukugo459
股関節	4.07% ; jukugo460
小気味	4.07% ; jukugo461
小奇麗	4.07% ; jukugo462
刻一刻	4.07% ; jukugo463
極彩色	4.07% ; jukugo464
告別式	4.07% ; jukugo465
御三家	4.06% ; jukugo466
孤児院	4.06% ; jukugo467
腰巾着	4.06% ; jukugo468
個人差	4.06% ; jukugo469
護身術	4.05% ; jukugo470
五寸釘	4.05% ; jukugo471
個性的	4.05% ; jukugo472
午前様	4.05% ; jukugo473
御馳走	4.04% ; jukugo474
骨董品	4.05% ; jukugo475
小手先	4.04% ; jukugo476
古典的	4.04% ; jukugo477
誤動作	4.04% ; jukugo478
少人数	4.04% ; jukugo479
御法度	4.03% ; jukugo480
昆布茶	4.03% ; jukugo481
子煩悩	4.03% ; jukugo482
小文字	4.02% ; jukugo483
金剛石	4.02% ; jukugo484
金輪際	4.02% ; jukugo485
最高裁	4.02% ; jukugo486
罪悪感	4.02% ; jukugo487
最右翼	4.02% ; jukugo488
再放送	4.01% ; jukugo489
北海道	4.01% ; jukugo490
猜疑心	4.01% ; jukugo491
最敬礼	4.00% ; jukugo492
最高峰	4.00% ; jukugo493
最終的	4.00% ; jukugo494
再出発	4.00% ; jukugo495
最小限	4.00% ; jukugo496
最上階	4.00% ; jukugo497
座椅子	3.99% ; jukugo498
再生紙	3.99% ; jukugo499
賽銭箱	3.99% ; jukugo500
最前線	3.99% ; jukugo501
最低限	3.99% ; jukugo502
重要性	3.98% ; jukugo503
再認識	3.98% ; jukugo504
再発見	3.98% ; jukugo505
裁判官	3.98% ; jukugo506
睡眠薬	3.97% ; jukugo507
催涙弾	3.97% ; jukugo508
早乙女	3.97% ; jukugo509
詐欺師	3.97% ; jukugo510
作詞家	3.97% ; jukugo511
桜吹雪	3.96% ; jukugo512
雑魚寝	3.96% ; jukugo513
作曲家	3.96% ; jukugo514
農作物	3.96% ; jukugo515
殺虫剤	3.95% ; jukugo516
殺風景	3.95% ; jukugo517
薩摩芋	3.96% ; jukugo518
再来年	3.95% ; jukugo519
猿芝居	3.94% ; jukugo520
猿真似	3.94% ; jukugo521
参議院	3.94% ; jukugo522
鶴亀算	3.94% ; jukugo523
無免許	3.94% ; jukugo524
三冠王	3.94% ; jukugo525
歩道橋	3.93% ; jukugo526
参考書	3.93% ; jukugo527
三国志	3.93% ; jukugo528
三叉路	3.93% ; jukugo529
山水画	3.93% ; jukugo530
酸性雨	3.92% ; jukugo531
三人称	3.92% ; jukugo532
賛美歌	3.92% ; jukugo533
秋刀魚	3.91% ; jukugo534
三文判	3.91% ; jukugo535
三輪車	3.91% ; jukugo536
自意識	3.91% ; jukugo537
試運転	3.91% ; jukugo538
塩加減	3.91% ; jukugo539
歯科医	3.91% ; jukugo540
紫外線	3.90% ; jukugo541
自家製	3.90% ; jukugo542
自画像	3.90% ; jukugo543
直談判	3.90% ; jukugo544
大至急	3.90% ; jukugo545
持久走	3.89% ; jukugo546
始球式	3.89% ; jukugo547
試供品	3.89% ; jukugo548
試金石	3.89% ; jukugo549
自警団	3.88% ; jukugo550
試験管	3.88% ; jukugo551
嗜好品	3.88% ; jukugo552
時刻表	3.88% ; jukugo553
地獄耳	3.88% ; jukugo554
子午線	3.88% ; jukugo555
自己流	3.87% ; jukugo556
支持者	3.87% ; jukugo557
獅子舞	3.87% ; jukugo558
試写会	3.87% ; jukugo559
思春期	3.86% ; jukugo560
事情通	3.86% ; jukugo561
私小説	3.86% ; jukugo562
自叙伝	3.86% ; jukugo563
私書箱	3.85% ; jukugo564
私生活	3.85% ; jukugo565
自殺点	3.86% ; jukugo566
自堕落	3.85% ; jukugo567
地団駄	3.85% ; jukugo568
七五三	3.85% ; jukugo569
自治体	3.84% ; jukugo570
七福神	3.84% ; jukugo571
七面鳥	3.84% ; jukugo572
七面倒	3.83% ; jukugo573
視聴率	3.84% ; jukugo574
地鎮祭	3.83% ; jukugo575
実業家	3.83% ; jukugo576
実験台	3.83% ; jukugo577
十進法	3.83% ; jukugo578
実物大	3.82% ; jukugo579
実用的	3.82% ; jukugo580
実力者	3.82% ; jukugo581
指定席	3.82% ; jukugo582
自転車	3.82% ; jukugo583
四天王	3.82% ; jukugo584
指導者	3.81% ; jukugo585
自動車	3.81% ; jukugo586
支配者	3.81% ; jukugo587
師範代	3.81% ; jukugo588
耳鼻科	3.81% ; jukugo589
始末書	3.80% ; jukugo590
事務所	3.80% ; jukugo591
望遠鏡	3.80% ; jukugo592
社会面	3.80% ; jukugo593
大車輪	3.80% ; jukugo594
社交界	3.79% ; jukugo595
取締役	3.79% ; jukugo596
三味線	3.79% ; jukugo597
自由形	3.79% ; jukugo598
周期的	3.78% ; jukugo599
衆議院	3.78% ; jukugo600
集客力	3.78% ; jukugo601
従兄弟	3.79% ; jukugo602
十五夜	3.78% ; jukugo603
終止符	3.77% ; jukugo604
十字架	3.78% ; jukugo605
集大成	3.78% ; jukugo606
重低音	3.77% ; jukugo607
重点的	3.77% ; jukugo608
修道院	3.77% ; jukugo609
十二支	3.76% ; jukugo610
周波数	3.76% ; jukugo611
守護神	3.76% ; jukugo612
主治医	3.76% ; jukugo613
主人公	3.76% ; jukugo614
受精卵	3.75% ; jukugo615
守銭奴	3.75% ; jukugo616
出世作	3.75% ; jukugo617
修羅場	3.75% ; jukugo618
手裏剣	3.75% ; jukugo619
手榴弾	3.75% ; jukugo620
受話器	3.74% ; jukugo621
五十音	3.74% ; jukugo622
潤滑油	3.74% ; jukugo623
瞬発力	3.74% ; jukugo624
準備中	3.74% ; jukugo625
発電所	3.74% ; jukugo626
仕様書	3.73% ; jukugo627
使用人	3.73% ; jukugo628
小宇宙	3.73% ; jukugo629
城下町	3.73% ; jukugo630
小学校	3.72% ; jukugo631
消去法	3.72% ; jukugo632
焼却炉	3.72% ; jukugo633
衝撃波	3.72% ; jukugo634
小細工	3.72% ; jukugo635
常識的	3.72% ; jukugo636
小市民	3.72% ; jukugo637
常習犯	3.71% ; jukugo638
小心者	3.70% ; jukugo639
小説家	3.71% ; jukugo640
白装束	3.71% ; jukugo641
招待状	3.70% ; jukugo642
松竹梅	3.70% ; jukugo643
上出来	3.70% ; jukugo644
衝動的	3.69% ; jukugo645
小児科	3.70% ; jukugo646
正念場	3.69% ; jukugo647
商売敵	3.69% ; jukugo648
消費税	3.69% ; jukugo649
消費者	3.69% ; jukugo650
勝負師	3.69% ; jukugo651
消耗品	3.69% ; jukugo652
将来性	3.68% ; jukugo653
女王蜂	3.68% ; jukugo654
初期化	3.68% ; jukugo655
助教授	3.68% ; jukugo656
合理化	3.68% ; jukugo657
食中毒	3.67% ; jukugo658
食道楽	3.67% ; jukugo659
植民地	3.67% ; jukugo660
助産婦	3.67% ; jukugo661
初心者	3.66% ; jukugo662
処世術	3.66% ; jukugo663
初体験	3.66% ; jukugo664
初対面	3.66% ; jukugo665
所得税	3.66% ; jukugo666
初任給	3.66% ; jukugo667
処方箋	3.66% ; jukugo668
所有権	3.65% ; jukugo669
進化論	3.65% ; jukugo670
新幹線	3.65% ; jukugo671
新機軸	3.65% ; jukugo672
蜃気楼	3.65% ; jukugo673
親近感	3.64% ; jukugo674
震源地	3.64% ; jukugo675
人件費	3.64% ; jukugo676
深呼吸	3.64% ; jukugo677
真骨頂	3.64% ; jukugo678
新参者	3.63% ; jukugo679
真実味	3.63% ; jukugo680
新生児	3.63% ; jukugo681
人生観	3.63% ; jukugo682
新体操	3.63% ; jukugo683
神通力	3.63% ; jukugo684
心電図	3.62% ; jukugo685
人道的	3.62% ; jukugo686
信憑性	3.62% ; jukugo687
新聞紙	3.62% ; jukugo688
森林浴	3.62% ; jukugo689
人力車	3.61% ; jukugo690
水蒸気	3.61% ; jukugo691
水族館	3.61% ; jukugo692
水墨画	3.61% ; jukugo693
水面下	3.60% ; jukugo694
頭蓋骨	3.60% ; jukugo695
助太刀	3.60% ; jukugo696
背格好	3.60% ; jukugo697
世紀末	3.60% ; jukugo698
正義感	3.60% ; jukugo699
請求書	3.59% ; jukugo700
性教育	3.59% ; jukugo701
正攻法	3.59% ; jukugo702
政治家	3.59% ; jukugo703
青少年	3.59% ; jukugo704
染色体	3.59% ; jukugo705
性転換	3.59% ; jukugo706
正当化	3.58% ; jukugo707
正反対	3.58% ; jukugo708
正比例	3.58% ; jukugo709
正方形	3.58% ; jukugo710
生命線	3.58% ; jukugo711
生理的	3.57% ; jukugo712
清涼剤	3.57% ; jukugo713
責任感	3.57% ; jukugo714
赤裸々	3.57% ; jukugo715
世間体	3.56% ; jukugo716
接客業	3.57% ; jukugo717
設計図	3.56% ; jukugo718
赤血球	3.56% ; jukugo719
接骨院	3.56% ; jukugo720
接着剤	3.56% ; jukugo721
瀬戸際	3.56% ; jukugo722
宣教師	3.56% ; jukugo723
選手権	3.55% ; jukugo724
千秋楽	3.55% ; jukugo725
前哨戦	3.55% ; jukugo726
先進国	3.55% ; jukugo727
潜水艦	3.54% ; jukugo728
全盛期	3.54% ; jukugo729
占星術	3.54% ; jukugo730
選択肢	3.54% ; jukugo731
先入観	3.54% ; jukugo732
千羽鶴	3.54% ; jukugo733
潜望鏡	3.53% ; jukugo734
洗面所	3.53% ; jukugo735
専門家	3.53% ; jukugo736
前夜祭	3.53% ; jukugo737
戦利品	3.53% ; jukugo738
理想像	3.53% ; jukugo739
創刊号	3.52% ; jukugo740
創始者	3.52% ; jukugo741
