提: 大前[提]
腸: 大[腸]菌
暦: 太陽[暦]
六: 第[六]感
楕: [楕]円形
打: [打]楽器
洒: 駄[洒]落
胞: 単細[胞]
蛋: [蛋]白質
劇: 茶番[劇]
抽: [抽]象的
象: 抽[象]的
貯: [貯]金箱
著: [著]作権
魂: 鎮[魂]歌
停: [停]留所
鱈: 出[鱈]目
網: 鉄条[網]
適: [適]齢期
齢: 適[齢]期
拍: 手[拍]子
閣: 天守[閣]
鳩: 伝書[鳩]
乗: 添[乗]員
曜: 日[曜]日
唐: [唐]辛子
桃: [桃]源郷
陶: [陶]磁器
磁: 陶[磁]器
窓: 同[窓]会
逃: [逃]避行
避: 逃[避]行
登: [登]竜門
突: [突]破口
並: [並]大抵
抵: 並大[抵]
京: 南[京]錠
錠: 南京[錠]
陸: 軟着[陸]
弱: 軟[弱]者
難: [難]破船
顔: 似[顔]絵
肉: [肉]体美
舌: 二枚[舌]
毛: 二[毛]作
如: [如]意棒
耐: 忍[耐]力
賀: 年[賀]状
脳: [脳]天気
猫: 野良[猫]
泄: 排[泄]物
他: 排[他]的
群: 症候[群]
昼: 白[昼]夢
博: [博]物館
爬: [爬]虫類
矢: 破魔[矢]
爛: 春[爛]漫
漫: 春爛[漫]
鈴: 馬[鈴]薯
薯: 馬鈴[薯]
廉: 破[廉]恥
恥: 破廉[恥]
繁: [繁]華街
華: 繁[華]街
旗: 万国[旗]
較: 比[較]的
膝: [膝]小僧
僧: 膝小[僧]
男: 美[男]子
需: 必[需]品
倍: 人一[倍]
筋: 一[筋]縄
縄: 一筋[縄]
粒: 一[粒]種
種: 一粒[種]
雛: [雛]人形
桧: [桧]舞台
貨: 百[貨]店
標: [標]準語
貧: [貧]乏神
乏: 貧[乏]神
詩: 風物[詩]
慮: 無遠[慮]
欠: 不可[欠]
恰: 不[恰]好
均: 不[均]衡
衡: 不均[衡]
康: 不健[康]
髭: 無精[髭]
審: 不[審]火
仏: [仏]頂面
葡: [葡]萄酒
萄: 葡[萄]酒
透: 不[透]明
誉: 不名[誉]
頼: 無[頼]漢
浮: [浮]浪者
浪: 浮[浪]者
呂: 風[呂]敷
雰: [雰]囲気
房: 文[房]具
糞: 下手[糞]
屁: [屁]理屈
西: 偏[西]風
程: 方[程]式
陣: 報道[陣]
防: [防]波堤
堤: 防波[堤]
朴: [朴]念仁
仁: 朴念[仁]
拠: 本[拠]地
杖: 松葉[杖]
丸: [丸]坊主
床: 万年[床]
曾: 未[曾]有
噌: 味[噌]汁
汁: 味噌[汁]
亡: 未[亡]人
婿: [婿]養子
慈: 無[慈]悲
悲: 無慈[悲]
島: 無人[島]
造: 無[造]作
秩: 無[秩]序
序: 無秩[序]
頓: 無[頓]着
胸: [胸]算用
村: [村]八分
盲: [盲]導犬
秘: 黙[秘]権
疫: [疫]病神
藪: [藪]医者
暮: 野[暮]用
越: 優[越]感
郵: [郵]便局
便: 郵[便]局
湯: [湯]豆腐
腐: 湯豆[腐]
幼: [幼]稚園
稚: 幼[稚]園
緑: 葉[緑]素
編: 予告[編]
恋: 横[恋]慕
慕: 横恋[慕]
畳: 四[畳]半
隠: 楽[隠]居
立: [立]候補
補: 立候[補]
置: 留[置]場
端: 両極[端]
哺: [哺]乳類
販: 量[販]店
履: [履]歴書
歴: 履[歴]書
臨: [臨]場感
凍: 冷[凍]庫
劣: [劣]等感
錬: [錬]金術
蝋: [蝋]人形
婆: 老[婆]心
露: [露]天商
若: [若]旦那
旦: 若[旦]那
那: 若旦[那]
帽: 綿[帽]子
読: 愛[読]書 句[読]点 ;; 020
田: 秋[田]犬 片[田]舎 ;; 020
趣: 悪[趣]味 多[趣]味 ;; 020
朝: [朝]一番 [朝]寝坊 ;; 200
紫: [紫]陽花 [紫]外線 ;; 200
使: 大[使]館 [使]用人 ;; 110
倒: 圧[倒]的 七面[倒] ;; 011
兄: [兄]弟分 従[兄]弟 ;; 110
甘: [甘]納豆 [甘]味料 ;; 200
納: 甘[納]豆 格[納]庫 ;; 020
豆: 甘納[豆] 湯[豆]腐 ;; 011
鬼: 天邪[鬼] 吸血[鬼] ;; 002
荒: [荒]療治 破天[荒] ;; 101
獄: 蟻地[獄] 地[獄]耳 ;; 011
黒: 暗[黒]街 大[黒]柱 ;; 020
徒: 異教[徒] [徒]競走 ;; 101
次: 異[次]元 低[次]元 ;; 020
住: 衣食[住] [住]宅街 ;; 101
容: 形[容]詞 [容]疑者 ;; 110
丈: 居[丈]高 大[丈]夫 ;; 020
称: 一人[称] 三人[称] ;; 002
戸: 井[戸]水 瀬[戸]際 ;; 020
炉: 囲[炉]裏 焼却[炉] ;; 011
和: 違[和]感 共[和]国 ;; 020
積: [積]極的 [積]乱雲 ;; 200
植: [植]木鉢 [植]民地 ;; 200
木: 植[木]鉢 啄[木]鳥 ;; 020
弁: 内[弁]慶 [弁]護士 ;; 110
宇: [宇]宙人 小[宇]宙 ;; 110
宙: 宇[宙]人 小宇[宙] ;; 011
腕: [腕]時計 [腕]相撲 ;; 200
撲: 腕相[撲] 大相[撲] ;; 002
栄: [栄]養素 虚[栄]心 ;; 110
養: 栄[養]素 婿[養]子 ;; 020
素: 栄養[素] 葉緑[素] ;; 002
恵: [恵]比寿 悪知[恵] ;; 101
深: [深]海魚 [深]呼吸 ;; 200
帯: 熱[帯]魚 熱[帯]夜 ;; 020
距: 遠[距]離 飛[距]離 ;; 020
離: 遠距[離] 飛距[離] ;; 002
起: 縁[起]物 [起]爆剤 ;; 110
演: [演]出家 講[演]会 ;; 110
往: [往]生際 大[往]生 ;; 110
応: [応]接室 不相[応] ;; 101
雑: 大[雑]把 [雑]魚寝 ;; 110
竜: [竜]宮城 登[竜]門 ;; 110
城: 竜宮[城] [城]下町 ;; 101
孝: 親[孝]行 親不[孝] ;; 011
温: [温]度計 体[温]計 ;; 110
扇: [扇]風機 換気[扇] ;; 101
戒: [戒]厳令 警[戒]心 ;; 110
改: [改]札口 [改]訂版 ;; 200
回: [回]送車 [回]覧板 ;; 200
綿: 海[綿]体 [綿]帽子 ;; 110
害: 加[害]者 被[害]者 ;; 020
糖: 角砂[糖] 血[糖]値 ;; 011
層: 角質[層] 活断[層] ;; 002
習: 学[習]塾 常[習]犯 ;; 020
簿: 家計[簿] 通信[簿] ;; 002
政: 家[政]婦 [政]治家 ;; 110
敷: 河川[敷] 風呂[敷] ;; 002
葬: 火[葬]場 [葬]送曲 ;; 110
速: 加[速]度 豪[速]球 ;; 020
仮: 片[仮]名 平[仮]名 ;; 020
統: 大[統]領 血[統]書 ;; 020
領: 大統[領] [領]収書 ;; 101
講: [講]演会 無礼[講] ;; 101
滑: [滑]走路 潤[滑]油 ;; 110
粉: 花[粉]症 小麦[粉] ;; 011
報: 果[報]者 [報]道陣 ;; 110
芝: 紙[芝]居 猿[芝]居 ;; 020
結: [結]婚式 [結]果論 ;; 200
吹: 紙[吹]雪 桜[吹]雪 ;; 020
皮: [皮]算用 鉄面[皮] ;; 101
桂: 月[桂]冠 月[桂]樹 ;; 020
冠: 月桂[冠] 三[冠]王 ;; 011
係: 関[係]者 無関[係] ;; 011
看: [看]護士 [看]板娘 ;; 200
幹: [幹]事長 新[幹]線 ;; 110
傷: 感[傷]的 致命[傷] ;; 011
忍: 堪[忍]袋 [忍]耐力 ;; 110
袋: 堪忍[袋] [袋]小路 ;; 101
刑: [刑]務所 絞首[刑] ;; 101
句: 慣用[句] [句]読点 ;; 101
敵: 好[敵]手 商売[敵] ;; 011
星: 一番[星] 占[星]術 ;; 011
吸: [吸]血鬼 深呼[吸] ;; 101
属: 貴金[属] 無所[属] ;; 002
苦: 気[苦]労 [苦]労人 ;; 110
労: 気苦[労] 苦[労]人 ;; 011
紀: [紀]元前 世[紀]末 ;; 110
嫌: 上機[嫌] 不機[嫌] ;; 002
節: 季[節]感 股関[節] ;; 011
則: 規[則]的 不規[則] ;; 011
北: [北]半球 [北]海道 ;; 200
南: [南]半球 [南]京錠 ;; 200
油: 揮発[油] 潤滑[油] ;; 002
問: 疑[問]符 疑[問]点 ;; 020
脚: [脚]本家 [脚]線美 ;; 200
勇: 義[勇]軍 武[勇]伝 ;; 020
降: 急[降]下 [降]水量 ;; 110
救: [救]急車 [救]世主 ;; 200
第: 及[第]点 [第]六感 ;; 110
給: [給]料日 初任[給] ;; 101
郷: 理想[郷] 桃源[郷] ;; 002
共: [共]益費 [共]和国 ;; 200
狂: [狂]犬病 半[狂]乱 ;; 110
恐: [恐]妻家 [恐]怖症 ;; 200
妻: 恐[妻]家 現地[妻] ;; 011
録: 新記[録] 黙示[録] ;; 002
席: 禁煙[席] 指定[席] ;; 002
銀: [銀]河系 [銀]世界 ;; 200
